CODE,DESCRIPTION,FAMILY,GROSS PRICE,EAN13,PACKAGING
106012000,BORCHIA OVALE,980,1.12,8.01535E+12,100
10601200012,BORCHIA OVALE NICHELATA,980,2.21,8.01535E+12,100
106012010,BORCHIA IN NYLON,981,1.43,8.01535E+12,100
106018250,BORCHIA OVALE,980,2.06,8.01535E+12,100
10601825012,BORCHIA OVALE NICHELATA,980,3.13,8.01535E+12,100
106027000,BORCHIA OVALE,980,1.5,8.01535E+12,100
10602700012,BORCHIA OVALE NICHELATA,980,2.7,8.01535E+12,100
106027010,BORCHIA IN NYLON,981,1.43,8.01535E+12,100
106035000,CONTROP.REVERSIB.X 12010,983,16.86,8.01535E+12,6
106043000,BORCHIA RETTANGOLARE,980,3.54,8.01535E+12,100
10604300012,BORCHIA X C.F.R.NICHELATA,980,6.06,8.01535E+12,100
10604300018,BORCHIA X C.F.R. CROMATA,980,6.94,8.01535E+12,100
106043000B1,BORCHIA X C.F.R.,980,10.23,8.01535E+12,
1.06044E+12,CONTROPIASTRA PER CIR,984,18.17,8.01535E+12,25
106047510,VITE X BORCHIA ANTISTRAPPO,984,0.95,8.01535E+12,25
106048030,VITE MM.105,981,2.21,8.01535E+12,
10604803028,VITE MM 105 FISSAGGIO BORCHIA,984,2.1,8.01535E+12,
106062000,CONTROPIASTRA NYLON,981,4.37,8.01535E+12,25
106072000,CONTROPIASTRA NYLON,981,4.37,8.01535E+12,25
106075000,BORCHIA IN FERRO,982,1.55,8.01535E+12,100
106077160,CONTROPIASTRA ACC.ZINC.,981,7.33,8.01535E+12,25
106077200,CONTROPIASTRA ACC.ZINC.,981,7.33,8.01535E+12,25
106078160,CONTROPIASTRA ACC.ZINC.,981,7.33,8.01535E+12,25
106078200,CONTROPIASTRA ACC.ZINC.,981,7.33,8.01535E+12,25
106079160,CONTROPIASTRA ACC.ZINC.,981,6.27,8.01535E+12,25
106079200,CONTROPIASTRA ACC.ZINC.,981,6.27,8.01535E+12,25
106079770,BOCCHETTA X SERR.FASCIA,981,5.46,8.01535E+12,25
106080160,CONTROPIASTRA ACC.ZINCATO,981,5.46,8.01535E+12,25
106080200,CONTROPIASTRA ACC.ZINCATO,981,5.46,8.01535E+12,25
106081000,COPRITOPPA,983,6.08,8.01535E+12,12
10608100012,COPRITOPPA,983,8.6,8.01535E+12,25
10608100018,COPRITOPPA,983,11.01,8.01535E+12,25
106081010,BORCHIA INTERNA X DMA,983,7.52,8.01535E+12,12
10608101012,BORCHIA INTERNA X DMA NICHELATA,983,10.01,8.01535E+12,25
106082000,COPRITOPPA  ESTERNO,983,4.14,8.01535E+12,12
10608200012,COPRITOPPA -NK-,983,6.64,8.01535E+12,25
10608200018,COPRITOPPA,983,9.03,8.01535E+12,25
106082000B1,COPRITOPPA  ESTERNO,983,10.8,8.01535E+12,
106083000,COPRITOPPA,983,12.34,8.01535E+12,12
10608300012,COPRITOPPA NICHELATO,983,14.85,8.01535E+12,25
10608300018,COPRITOPPA,983,17.26,8.01535E+12,25
106084000,CONTROPIASTRA SUPERIORE,983,3.52,8.01535E+12,12
106086000,BOCCHETTA A PAVIMENTO,982,6,8.01535E+12,12
